target,entity_id,n,block_sd,local_sd,rmse_ml,rmse_loc,rmse_per,rmse_lin
Mg_Ca_measurement,887,32,0.0764945615083127,0.06646330720314472,0.09854685147134923,0.0767434113957957,0.10934654693546345,0.11028591233487327
Mg_Ca_measurement,888,30,0.5486963308196531,0.6583111307442641,0.6770635594777895,0.5514355309367107,1.1980779755712763,0.8831708684703969
Mg_Ca_measurement,889,30,0.34147272957794333,0.2221023888990678,0.30648078750371816,0.3983052052337287,0.3602899622439659,0.442160007127061
Mg_Ca_measurement,890,77,0.37053478745397167,0.268005374744088,0.348745980278752,0.5402671082243512,0.3828436296608893,0.33263589975943164
Mg_Ca_measurement,892,39,3.8713866727235198,3.323232948032285,4.064308703140497,4.8448249711814935,4.179014637414974,4.690596750869239
Mg_Ca_measurement,894,30,0.052439154648509775,0.07582760492830513,0.10327562009010222,0.054369917244072884,0.08903282555067459,0.06930332470184361
Mg_Ca_measurement,895,30,0.051969573002003125,0.10579851319909513,0.12229871607835703,0.07456502118638784,0.14309101805933366,0.08135146912929893
Sr_Ca_measurement,17,55,0.09360208297332533,0.07904581763755159,0.09123198454156668,0.09853706340700612,0.1329039389153803,0.07324454049589854
Sr_Ca_measurement,32,30,0.006771214804076785,0.00443842656788234,0.009582493936994127,0.006894911429883444,0.0067764906527826175,0.0065382833598671255
Sr_Ca_measurement,101,30,0.009233953806998903,0.017536244850360923,0.028674963960233366,0.011763701333934054,0.018285700680164507,0.017903532856719428
Sr_Ca_measurement,102,61,0.025595149643051766,0.04753975784694841,0.05304810071675944,0.04373045103557172,0.02561408967916722,0.03820597586063058
Sr_Ca_measurement,156,30,0.21521281457096267,0.49250934375522293,0.22596858096050812,0.21523272526255052,0.21546074661834191,0.24906815580591415
Sr_Ca_measurement,158,30,0.4571687021463982,0.411740791581372,0.1326619256053892,0.48480064631420067,0.7916754385478938,0.1815168773977823
Sr_Ca_measurement,169,41,0.00660543374107961,0.006351963771149833,0.008246836024804258,0.007452667317976765,0.00862988285255255,0.00798927370618278
Sr_Ca_measurement,226,30,0.002006046415769641,0.0028515633362708333,0.0018879828951445863,0.003262780002401614,0.002272003521124032,0.002500649493862837
Sr_Ca_measurement,290,30,0.010579416198965528,0.025220794881110894,0.014949777686203815,0.022372736402938798,0.011276547456584672,0.011288142831833613
Sr_Ca_measurement,390,160,0.0038742814815954808,0.003999411976389576,0.001639343511440848,0.004821607913653797,0.004597537842253706,0.004222985734553805
Sr_Ca_measurement,394,30,0.010549281124862586,0.01243414529434769,0.008842770105769546,0.010573996062491616,0.012575706161773876,0.012023058027858727
Sr_Ca_measurement,561,30,0.002119173760277313,0.0030326052332117466,0.0011842473944044028,0.002128303507251034,0.0022872111175469066,0.0021415231892009537
Sr_Ca_measurement,573,43,0.014806296097777836,0.013471395482832079,0.01291928290617932,0.014942319469131765,0.025335763130712115,0.020976345749464206
Sr_Ca_measurement,574,30,0.030748878417036878,0.029062599593755158,0.009390981741222746,0.030899324705648545,0.032067506691627994,0.029540181100689785
Sr_Ca_measurement,575,30,0.0025593051373252935,0.0032999891624318507,0.0077674627465335044,0.0035963321188672032,0.003975431418685228,0.004995904924972347
Sr_Ca_measurement,596,101,0.008347668416530233,0.015769021475804147,0.011315287202586092,0.01057701699423932,0.014470874194631228,0.010095953145722404
Sr_Ca_measurement,608,148,0.0020652190954823114,0.005498613106729732,0.011724853959403946,0.002626624835053845,0.0042557695337417335,0.0038290304987203486
Sr_Ca_measurement,692,73,0.19022036385938487,0.2986207628414341,0.20283749135115237,0.1923968401756875,0.3512989594406871,0.22999095044387613
Sr_Ca_measurement,694,65,0.09405923112466587,0.11454359907448998,0.09721512843240716,0.09797451123293106,0.09413730099414121,
Sr_Ca_measurement,714,30,0.006073156914522946,0.0058596457172820525,0.003402556770894801,0.006171336094496845,0.008220076207340218,0.005292823054219317
Sr_Ca_measurement,722,30,0.013957873126741845,0.016626664578321175,0.01646321116747845,0.018689186490231883,0.021484878403193252,0.016020740125003353
Sr_Ca_measurement,748,30,0.0028878929867139345,0.006022375988343943,0.004142338528324212,0.008099264612248797,0.007840263965382073,0.004001036993764514
Sr_Ca_measurement,751,30,0.005693453117258318,0.005440440190094321,0.00711688250496763,0.0059890687046163325,0.011219776019560052,0.010768873815757009
Sr_Ca_measurement,764,30,4.118845051170966e-05,0.00011531815147093483,0.0024700054157525244,0.00011066111089780392,0.00011357508382856984,7.363886376876473e-05
Sr_Ca_measurement,773,30,0.00016527824614867567,0.00016445006259765868,0.0008143861378132834,0.00016527864587487467,0.00022519186509078576,0.00021440949119441052
Sr_Ca_measurement,783,30,0.062159560296150954,0.0832373369343645,0.08309734862906798,0.06246490121815201,0.06927548755094816,0.10847313817114607
